unit_number,cycle,anomaly_score,trend_score,RUL_linear,rul_score,saude_anomalia,saude_trend,faixa_RUL,health_A_50_30_20,health_B_40_40_20,health_C_50_25_25,health_D_60_25_15,health_E_40_35_25,health_score,status,rul_risk,health_risk,priority_A_50_50,priority_B_60_40,priority_C_40_60,priority_D_70_30,priority_E_30_70
1,39,10.857178885462648,22.01927626158506,153.0,100.0,89.14282111453736,77.98072373841494,RUL > 125,92.3389910820442,91.25327319349792,91.78088621323808,93.98281383939658,90.6951683246918,93.98281383939658,SAUDAVEL,0.0,6.017186160603416,3.008593080301708,3.610311696362049,2.4068744642413664,4.212030312422391,1.8051558481810246
1,40,0.0,15.3152996806735,152.0,100.0,100.0,84.6847003193265,RUL > 125,96.93694006386532,96.93694006386532,96.17117507983164,97.70270504789896,96.17117507983164,97.70270504789896,SAUDAVEL,0.0,2.2972949521010406,1.1486474760505203,1.3783769712606244,0.9189179808404163,1.6081064664707283,0.6891884856303122
1,41,0.0,3.824603497527277,151.0,100.0,100.0,96.17539650247272,RUL > 125,99.23507930049456,99.23507930049456,99.04384912561818,99.42630947537091,99.04384912561818,99.42630947537091,SAUDAVEL,0.0,0.573690524629086,0.286845262314543,0.34421431477745157,0.22947620985163442,0.40158336724036015,0.17210715738872578
1,42,0.0,0.0,150.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,43,0.0,0.0,149.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,44,0.0,0.0,148.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,45,0.0,0.0,147.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,46,0.0,0.0,146.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,47,0.0,0.0,145.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,48,0.0,0.0,144.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49,0.0,0.0,143.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50,0.0,0.0,142.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51,0.0,0.0,141.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,52,0.0,0.0,140.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,53,0.0,0.0,139.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,54,0.0,5.221382622173075,138.0,100.0,100.0,94.77861737782692,RUL > 125,98.95572347556538,98.95572347556538,98.69465434445672,99.21679260667403,98.69465434445672,99.21679260667403,SAUDAVEL,0.0,0.7832073933259664,0.3916036966629832,0.46992443599557987,0.3132829573303866,0.5482451753281765,0.23496221799778993
1,55,0.0,1.1977316007217218,137.0,100.0,100.0,98.80226839927828,RUL > 125,99.76045367985566,99.76045367985566,99.70056709981957,99.82034025989174,99.70056709981957,99.82034025989174,SAUDAVEL,0.0,0.17965974010826358,0.08982987005413179,0.10779584406495814,0.07186389604330544,0.1257618180757845,0.05389792203247907
1,56,0.0,3.200736260647848,136.0,100.0,100.0,96.79926373935216,RUL > 125,99.35985274787043,99.35985274787043,99.19981593483804,99.51988956090284,99.19981593483804,99.51988956090284,SAUDAVEL,0.0,0.4801104390971602,0.2400552195485801,0.2880662634582961,0.1920441756388641,0.3360773073680121,0.14403313172914806
1,57,0.0,0.0,135.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,58,0.0,0.0,134.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,59,0.0,0.0,133.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,60,0.0,0.0,132.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61,0.0,0.0,131.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,62,0.0,0.0,130.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,63,0.0,0.0,129.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0,100.0,SAUDAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,64,0.0,14.928536133447007,128.0,100.0,100.0,85.07146386655299,RUL > 125,97.0142927733106,97.0142927733106,96.26786596663824,97.76071957998296,96.26786596663824,97.76071957998296,SAUDAVEL,0.0,2.239280420017039,1.1196402100085194,1.3435682520102232,0.8957121680068156,1.567496294011927,0.6717841260051116
1,65,0.0,18.956701558893148,127.0,100.0,100.0,81.04329844110686,RUL > 125,96.20865968822136,96.20865968822136,95.26082461027671,97.15649476616603,95.26082461027671,97.15649476616603,SAUDAVEL,0.0,2.843505233833966,1.421752616916983,1.7061031403003795,1.1374020935335865,1.990453663683776,0.8530515701501897
