unit_number,cycle,anomaly_score,trend_score,RUL_linear,rul_score,saude_anomalia,saude_trend,faixa_RUL,health_A_50_30_20,health_B_40_40_20,health_C_50_25_25,health_D_60_25_15,health_E_40_35_25
1,39,10.857178885462648,22.01927626158506,153.0,100.0,89.14282111453736,77.98072373841494,RUL > 125,92.33899108204419,91.25327319349793,91.78088621323808,93.98281383939658,90.6951683246918
1,40,0.0,15.3152996806735,152.0,100.0,100.0,84.6847003193265,RUL > 125,96.93694006386531,96.93694006386531,96.17117507983163,97.70270504789897,96.17117507983163
1,41,0.0,3.824603497527277,151.0,100.0,100.0,96.17539650247272,RUL > 125,99.23507930049455,99.23507930049455,99.04384912561818,99.42630947537091,99.04384912561818
1,42,0.0,0.0,150.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,43,0.0,0.0,149.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,44,0.0,0.0,148.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,45,0.0,0.0,147.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,46,0.0,0.0,146.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,47,0.0,0.0,145.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,48,0.0,0.0,144.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,49,0.0,0.0,143.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,50,0.0,0.0,142.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,51,0.0,0.0,141.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,52,0.0,0.0,140.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,53,0.0,0.0,139.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,54,0.0,5.221382622173075,138.0,100.0,100.0,94.77861737782692,RUL > 125,98.95572347556538,98.95572347556538,98.69465434445672,99.21679260667403,98.69465434445672
1,55,0.0,1.1977316007217218,137.0,100.0,100.0,98.80226839927828,RUL > 125,99.76045367985566,99.76045367985566,99.70056709981957,99.82034025989174,99.70056709981957
1,56,0.0,3.200736260647848,136.0,100.0,100.0,96.79926373935216,RUL > 125,99.35985274787043,99.35985274787043,99.19981593483804,99.51988956090283,99.19981593483804
1,57,0.0,0.0,135.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,58,0.0,0.0,134.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,59,0.0,0.0,133.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,60,0.0,0.0,132.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
1,61,0.0,0.0,131.0,100.0,100.0,100.0,RUL > 125,100.0,100.0,100.0,100.0,100.0
