unit_number,cycle,RUL_linear,erro_reconstrucao,slope,horizonte,faixa_RUL
1,49,143.0,0.009336592,-4.509395601503752e-05,20,RUL > 125
1,50,142.0,0.009175219,-5.131719962406012e-05,20,RUL > 125
1,51,141.0,0.009318665,-5.523604323308261e-05,20,RUL > 125
1,52,140.0,0.009623968,-5.4417614661654166e-05,20,RUL > 125
1,53,139.0,0.009584261,-5.33062454887218e-05,20,RUL > 125
1,54,138.0,0.009558056,-5.232619285714297e-05,20,RUL > 125
1,55,137.0,0.009239113,-5.260921691729316e-05,20,RUL > 125
1,56,136.0,0.009339652,-4.830865601503754e-05,20,RUL > 125
1,57,135.0,0.00924575,-4.400334172932313e-05,20,RUL > 125
1,58,134.0,0.009089611,-4.0345188345864615e-05,20,RUL > 125
1,59,133.0,0.009481255,-2.9398176315789458e-05,20,RUL > 125
1,60,132.0,0.009212421,-2.5373955263157932e-05,20,RUL > 125
1,61,131.0,0.009170528,-2.171775526315781e-05,20,RUL > 125
1,62,130.0,0.009215076,-1.6775616165413523e-05,20,RUL > 125
1,63,129.0,0.009612271,-9.3558477443608e-06,20,RUL > 125
1,64,128.0,0.0094345305,-7.298213157894648e-06,20,RUL > 125
1,65,127.0,0.00948666,-3.2094522556390792e-06,20,RUL > 125
1,66,126.0,0.009529154,1.407153759398489e-06,20,RUL > 125
1,67,125.0,0.009627674,5.465328195488679e-06,20,76-125
1,68,124.0,0.009458629,7.1439447368420625e-06,20,76-125
1,69,123.0,0.009316033,5.335589849624133e-06,20,76-125
1,70,122.0,0.009252812,1.0699887218036979e-07,20,76-125
1,71,121.0,0.009087255,-5.338436466165332e-06,20,76-125
1,72,120.0,0.009200284,-4.000613157894785e-06,20,76-125
1,73,119.0,0.00904317,-4.897109398496302e-06,20,76-125
1,74,118.0,0.009252697,-2.4004552631578854e-06,20,76-125
1,75,117.0,0.009375279,-2.7293853383457987e-06,20,76-125
1,76,116.0,0.009563458,1.0126530075188712e-06,20,76-125
1,77,115.0,0.009630407,3.8918921052631905e-06,20,76-125
1,78,114.0,0.009994064,8.922446992481249e-06,20,76-125
1,79,113.0,0.010096575,2.024121766917296e-05,20,76-125
1,80,112.0,0.0104132155,3.091338345864649e-05,20,76-125
1,81,111.0,0.010230175,3.6503510526315714e-05,20,76-125
1,82,110.0,0.009856665,3.586771578947371e-05,20,76-125
1,83,109.0,0.009891868,4.104152556390971e-05,20,76-125
1,84,108.0,0.009762923,4.114638834586446e-05,20,76-125
1,85,107.0,0.00998796,4.479533947368413e-05,20,76-125
1,86,106.0,0.009914984,4.731889962406013e-05,20,76-125
1,87,105.0,0.010180529,5.461134323308271e-05,20,76-125
1,88,104.0,0.010115819,5.7478865789473664e-05,20,76-125
1,89,103.0,0.00971356,5.136005977443593e-05,20,76-125
1,90,102.0,0.010116563,4.940242819548866e-05,20,76-125
1,91,101.0,0.010320208,4.644107932330824e-05,20,76-125
1,92,100.0,0.0103460755,4.3779869924812065e-05,20,76-125
1,93,99.0,0.010071983,3.299931127819556e-05,20,76-125
1,94,98.0,0.010226125,2.6182015037593886e-05,20,76-125
1,95,97.0,0.010613979,2.5377193984962423e-05,20,76-125
1,96,96.0,0.010484989,2.3838199248120252e-05,20,76-125
1,97,95.0,0.010531924,2.264103308270686e-05,20,76-125
1,98,94.0,0.010931846,3.154332631578951e-05,20,76-125
1,99,93.0,0.011079886,4.2768872932330866e-05,20,76-125
1,100,92.0,0.011216162,5.946214323308258e-05,20,76-125
1,101,91.0,0.011367087,7.421393345864659e-05,20,76-125
1,102,90.0,0.011475398,8.290585526315799e-05,20,76-125
1,103,89.0,0.011552307,9.08181289473684e-05,20,76-125
1,104,88.0,0.011141082,8.832288533834597e-05,20,76-125
1,105,87.0,0.010844365,8.306962368421046e-05,20,76-125
1,106,86.0,0.01057952,7.159278233082691e-05,20,76-125
1,107,85.0,0.0110091325,6.944677593984962e-05,20,76-125
1,108,84.0,0.011330914,6.962989097744358e-05,20,76-125
1,109,83.0,0.011467204,6.358133759398483e-05,20,76-125
1,110,82.0,0.011323284,5.9202930827067565e-05,20,76-125
1,111,81.0,0.011579859,5.9890710526315685e-05,20,76-125
1,112,80.0,0.01147782,5.763501240601489e-05,20,76-125
1,113,79.0,0.011566128,5.061120939849622e-05,20,76-125
1,114,78.0,0.011616226,4.4490078571428466e-05,20,76-125
1,115,77.0,0.011387488,3.913489511278202e-05,20,76-125
1,116,76.0,0.011527145,3.2574956015037564e-05,20,76-125
1,117,75.0,0.01177682,2.8755729699248072e-05,20,31-75
1,118,74.0,0.011478256,2.511383721804512e-05,20,31-75
1,119,73.0,0.011604916,2.479717781954891e-05,20,31-75
1,120,72.0,0.0112470295,2.0730061654135396e-05,20,31-75
1,121,71.0,0.011303871,1.9811575939849544e-05,20,31-75
