unit_number,cycle,RUL_linear,erro_reconstrucao,slope,horizonte,faixa_RUL
1,34,158.0,0.009995125,-2.8267500000000366e-05,5,RUL > 125
1,35,157.0,0.010162072,2.1887799999999208e-05,5,RUL > 125
1,36,156.0,0.010273501,6.817549999999967e-05,5,RUL > 125
1,37,155.0,0.010269823,7.75300000000006e-05,5,RUL > 125
1,38,154.0,0.010272574,6.626490000000092e-05,5,RUL > 125
1,39,153.0,0.010267194,2.093170000000011e-05,5,RUL > 125
1,40,152.0,0.00999713,-5.553710000000001e-05,5,RUL > 125
1,41,151.0,0.009936991,-9.411079999999868e-05,5,RUL > 125
1,42,150.0,0.009905132,-0.00010650869999999958,5,RUL > 125
1,43,149.0,0.009636962,-0.00013524620000000148,5,RUL > 125
1,44,148.0,0.0094558215,-0.0001382646000000006,5,RUL > 125
1,45,147.0,0.009535267,-0.00012527584999999942,5,RUL > 125
1,46,146.0,0.009525621,-8.607169999999976e-05,5,RUL > 125
1,47,145.0,0.009401453,-4.012185000000069e-05,5,RUL > 125
1,48,144.0,0.009425238,-1.9498099999999447e-05,5,RUL > 125
1,49,143.0,0.009336592,-4.977329999999887e-05,5,RUL > 125
1,50,142.0,0.009175219,-7.656649999999919e-05,5,RUL > 125
1,51,141.0,0.009318665,-4.155949999999979e-05,5,RUL > 125
1,52,140.0,0.009623968,3.795329999999981e-05,5,RUL > 125
1,53,139.0,0.009584261,9.440870000000033e-05,5,RUL > 125
1,54,138.0,0.009558056,0.0001031270000000004,5,RUL > 125
1,55,137.0,0.009239113,-2.250159999999889e-05,5,RUL > 125
1,56,136.0,0.009339652,-9.137800000000029e-05,5,RUL > 125
1,57,135.0,0.00924575,-8.954259999999978e-05,5,RUL > 125
1,58,134.0,0.009089611,-9.302529999999956e-05,5,RUL > 125
1,59,133.0,0.009481255,2.342429999999873e-05,5,RUL > 125
1,60,132.0,0.009212421,-1.8956999999999137e-06,5,RUL > 125
1,61,131.0,0.009170528,-2.7633999999993614e-06,5,RUL > 125
1,62,130.0,0.009215076,-5.979699999999242e-06,5,RUL > 125
1,63,129.0,0.009612271,2.6468700000001182e-05,5,RUL > 125
1,64,128.0,0.0094345305,8.859619999999933e-05,5,RUL > 125
1,65,127.0,0.00948666,8.517185000000026e-05,5,RUL > 125
1,66,126.0,0.009529154,5.025450000000034e-05,5,RUL > 125
1,67,125.0,0.009627674,1.2542949999999197e-05,5,76-125
1,68,124.0,0.009458629,1.8921100000000353e-05,5,76-125
1,69,123.0,0.009316033,-4.117789999999945e-05,5,76-125
1,70,122.0,0.009252812,-8.64324999999994e-05,5,76-125
1,71,121.0,0.009087255,-0.0001286654999999985,5,76-125
1,72,120.0,0.009200284,-7.454680000000057e-05,5,76-125
1,73,119.0,0.00904317,-5.9825399999999876e-05,5,76-125
1,74,118.0,0.009252697,-4.43149999999939e-06,5,76-125
1,75,117.0,0.009375279,6.284610000000046e-05,5,76-125
1,76,116.0,0.009563458,0.00010584569999999905,5,76-125
1,77,115.0,0.009630407,0.00014852350000000048,5,76-125
1,78,114.0,0.009994064,0.00017378620000000063,5,76-125
1,79,113.0,0.010096575,0.00018731979999999922,5,76-125
1,80,112.0,0.0104132155,0.00021656830000000036,5,76-125
1,81,111.0,0.010230175,0.00016186874999999903,5,76-125
1,82,110.0,0.009856665,-1.41198000000016e-05,5,76-125
1,83,109.0,0.009891868,-9.659644999999844e-05,5,76-125
1,84,108.0,0.009762923,-0.0001638891999999995,5,76-125
1,85,107.0,0.00998796,-5.78171999999992e-05,5,76-125
1,86,106.0,0.009914984,2.127299999999893e-05,5,76-125
1,87,105.0,0.010180529,7.293830000000083e-05,5,76-125
1,88,104.0,0.010115819,8.983609999999979e-05,5,76-125
