unit_number,RUL_real,RUL_previsto,erro,erro_absoluto
1,112,111.973625,-0.02637481689453125,0.02637481689453125
2,98,117.81172,19.811721801757812,19.811721801757812
3,69,44.293533,-24.706466674804688,24.706466674804688
4,82,81.33922,-0.6607818603515625,0.6607818603515625
5,91,101.35779,10.3577880859375,10.3577880859375
6,93,109.73882,16.73882293701172,16.73882293701172
7,91,108.15534,17.15534210205078,17.15534210205078
8,95,94.28979,-0.7102127075195312,0.7102127075195312
9,111,118.95637,7.956367492675781,7.956367492675781
10,96,85.31642,-10.683578491210938,10.683578491210938
11,97,86.91126,-10.088737487792969,10.088737487792969
12,124,111.58801,-12.4119873046875,12.4119873046875
13,95,87.73836,-7.2616424560546875,7.2616424560546875
14,107,113.070946,6.070945739746094,6.070945739746094
15,83,107.41428,24.414283752441406,24.414283752441406
16,84,107.36865,23.36865234375,23.36865234375
17,50,50.475014,0.47501373291015625,0.47501373291015625
18,28,28.783318,0.7833175659179688,0.7833175659179688
19,87,107.95621,20.956207275390625,20.956207275390625
20,16,16.478977,0.4789772033691406,0.4789772033691406
21,57,89.128845,32.12884521484375,32.12884521484375
22,111,123.00643,12.006431579589844,12.006431579589844
23,113,120.431366,7.431365966796875,7.431365966796875
24,20,19.875349,-0.12465095520019531,0.12465095520019531
25,145,110.70329,-34.29670715332031,34.29670715332031
26,119,115.245224,-3.7547760009765625,3.7547760009765625
27,66,99.89641,33.89640808105469,33.89640808105469
28,97,105.51373,8.51373291015625,8.51373291015625
29,90,103.18956,13.189559936523438,13.189559936523438
30,115,106.281006,-8.718994140625,8.718994140625
31,8,8.882757,0.8827571868896484,0.8827571868896484
32,48,46.963257,-1.0367431640625,1.0367431640625
33,106,111.358734,5.358734130859375,5.358734130859375
34,7,3.248215,-3.7517850399017334,3.7517850399017334
35,11,11.082693,0.08269309997558594,0.08269309997558594
36,19,20.67487,1.6748695373535156,1.6748695373535156
37,21,27.020906,6.020906448364258,6.020906448364258
38,50,56.834534,6.83453369140625,6.83453369140625
39,142,122.960144,-19.03985595703125,19.03985595703125
40,28,34.85672,6.856719970703125,6.856719970703125
41,18,24.06394,6.063940048217773,6.063940048217773
42,10,8.8329935,-1.167006492614746,1.167006492614746
43,59,66.926926,7.9269256591796875,7.9269256591796875
44,109,100.7647,-8.235298156738281,8.235298156738281
45,114,75.04521,-38.95478820800781,38.95478820800781
46,47,41.007446,-5.9925537109375,5.9925537109375
47,135,112.838455,-22.161544799804688,22.161544799804688
48,92,103.85371,11.853706359863281,11.853706359863281
49,21,16.428505,-4.571495056152344,4.571495056152344
50,79,95.50923,16.509231567382812,16.509231567382812
51,114,102.35132,-11.648681640625,11.648681640625
52,29,27.049982,-1.9500179290771484,1.9500179290771484
53,26,28.8956,2.895599365234375,2.895599365234375
54,97,116.57118,19.571182250976562,19.571182250976562
55,137,119.97838,-17.021621704101562,17.021621704101562
56,15,16.636086,1.6360855102539062,1.6360855102539062
57,103,108.30451,5.304512023925781,5.304512023925781
58,37,42.02649,5.0264892578125,5.0264892578125
59,114,108.7829,-5.21710205078125,5.21710205078125
60,100,106.31963,6.319633483886719,6.319633483886719
61,21,18.036633,-2.963367462158203,2.963367462158203
62,54,34.62825,-19.371749877929688,19.371749877929688
63,72,91.215256,19.215255737304688,19.215255737304688
64,28,21.193596,-6.806404113769531,6.806404113769531
65,128,120.25978,-7.7402191162109375,7.7402191162109375
66,14,22.328627,8.32862663269043,8.32862663269043
67,77,122.17948,45.179481506347656,45.179481506347656
68,8,6.920271,-1.0797290802001953,1.0797290802001953
69,121,121.32012,0.32012176513671875,0.32012176513671875
70,94,90.69324,-3.3067626953125,3.3067626953125
71,118,111.571335,-6.4286651611328125,6.4286651611328125
72,50,65.18863,15.188629150390625,15.188629150390625
73,131,112.89566,-18.104339599609375,18.104339599609375
74,126,106.51616,-19.483840942382812,19.483840942382812
75,113,110.95305,-2.0469512939453125,2.0469512939453125
76,10,6.201874,-3.798126220703125,3.798126220703125
77,34,27.902985,-6.097015380859375,6.097015380859375
78,107,127.02251,20.022506713867188,20.022506713867188
79,63,98.76836,35.76835632324219,35.76835632324219
80,90,100.52806,10.528060913085938,10.528060913085938
81,8,6.382285,-1.6177148818969727,1.6177148818969727
82,9,5.8862343,-3.1137657165527344,3.1137657165527344
83,137,125.014404,-11.985595703125,11.985595703125
84,58,78.646866,20.646865844726562,20.646865844726562
85,118,123.562164,5.562164306640625,5.562164306640625
86,89,114.35112,25.351119995117188,25.351119995117188
87,116,115.679276,-0.3207244873046875,0.3207244873046875
88,115,113.771835,-1.2281646728515625,1.2281646728515625
89,136,111.1916,-24.80840301513672,24.80840301513672
90,28,23.885534,-4.114465713500977,4.114465713500977
91,38,26.928768,-11.071231842041016,11.071231842041016
92,20,25.711533,5.7115325927734375,5.7115325927734375
93,85,48.697044,-36.302955627441406,36.302955627441406
94,55,71.96905,16.96904754638672,16.96904754638672
95,128,113.51846,-14.481536865234375,14.481536865234375
96,137,104.34732,-32.652679443359375,32.652679443359375
97,82,96.84814,14.848136901855469,14.848136901855469
98,59,64.118835,5.11883544921875,5.11883544921875
99,117,113.70531,-3.2946929931640625,3.2946929931640625
100,20,17.418976,-2.581024169921875,2.581024169921875
